lemma,part_of_speech,translation,relations
niiwaak,number,four hundred,
niiyo-diba'iganed,inanimate intransitive verb,it is four o'clock See also:niiwo-diba'iganed,"niiwo-diba'iganed, niiyo-diba'iganed"
niiwosagoons,number,four thousand,niiwosagoons
ashi-niiwin,number,and fourfourteen,
ashi-niiwaginzo,animate intransitive verb,it is the fourteenth (of the month),
niiwogonagizi,animate intransitive verb,s/he is four days old; it is the fourth (of the month),
baapaashkizige-giizhigad,inanimate intransitive verb,"it is the Fourth of July, is Independence Day",
waagosh,animate noun,a fox,"makade-waagosh, aazhide-waagosh, naabe-waagosh, waagoshiwayaan"
waagoshiwayaan,animate noun,a fox hide,
misajidamoo,animate noun,a grey squirrel; a fox squirrel,ozhaawashkojiisag
ozhaawashkojiisag,inanimate noun,foxfire; (a piece of) rotten wood that glows at ght See also:ozhaawishkojiisag,ozhaawishkojiisag
wakewan,inanimate intransitive verb,"it is fragile, is weak Paired with:wakewizi","wakewizi, wakewan"
niinamizi,animate intransitive verb,"s/he or it (animate) is weak, is fragile, is frail Paired with:niinamad","niinamad, niinamizi"
iskigamiziganaak,inanimate noun,a frame for holding sap-boiling kettles,
gidagiingwe,animate intransitive verb,"s/he has spots on h/ face, has freckles on h/ face",
gidiskibidoon,class 2 transitive inanimate verb,"pull it free, disconnect it (with hands) Paired with:gidiskibizh See also:gadiskibidoon","gidiskibizh, gadiskibidoon, gidiskibidoon, gadiskibizh, wiikwajitoon, wiikwaji'"
gidiskin,transitive animate verb,"free, disconnect h/; take h/ off something Paired with:an","gidiskinan, gidiskin"
mashkawaakwadin,inanimate intransitive verb,"it freezes stiff, is frozen stiff Paired with:mashkawaakwaji","mashkawaakwaji, mashkawaakwadin"
mashkawaakwajidoon,class 2 transitive inanimate verb,freeze it stiff Paired with:mashkawaakwajim,"mashkawaakwajim, mashkawaakwajidoon, mashkawaakwajim, mashkawaakwajidoon"
dakisijigan,inanimate noun,"something that cools things: a refrigerator, a freezer",
aawadaasoowinini,animate noun,a freight hauler,
wemitigoozhiimowin,inanimate noun,the French language,
wemitigoozhi,animate noun, a Frenchman a whiteman,
naano-giizhigad,inanimate intransitive verb,it is Friday,
beshwaji',transitive animate verb,be close friends with h/,
zegi',transitive animate verb,"scare, frighten h/ Paired with:zegitoon",zegitoon
zegizi,animate intransitive verb,"s/he is afraid, frightened, scared",
zegendaagwad,inanimate intransitive verb,"it is frightening, scary, terrifying Paired with:zegendaagozi See also:zegendaagod","zegendaagozi, zegendaagod, zegendaagozi, zegendaagwad, zegendaagwad, zegaabam, zegaabandan, zeginaagwad, zeginaagozi, zegitaagwad, zegitaagozi"
niisiiwezhigan,inanimate noun,fringe,"niisiiwezhan, niisiiwezh"
omagakii,animate noun,a frog See also:omakakii,"omakakii, omagakii, agoozimakakii"
onda'ibii,animate intransitive verb,"s/he gets, draws water from a certain place","onjiimagad, ondaadage, ondaadagaa, ondaasin, ondaashi, ondaasin, ondaashi, ondinan, ondin, ondinan, ondin, ondoondan, ondoom, onjibizo, onjibide, onjibizo, onjibide, onjibizo, onjibide, onjise, onjiwizh, onjiwidoon, onjiwizh, onjiwidoon"
niigaan,locational adverb,"ahead, at the front, leading; in the future","niigaanagoojin, niigaanagoode, niigaanagoozh, niigaanagoodoon"
zasakwaa,inanimate intransitive verb,there is a heavy frost,
nigiigwadin,inanimate intransitive verb,"it is frosted, there is frost Paired with:nigiigwaji See also:ningiigwadin","nigiigwaji, ningiigwadin, nigiigwadin, ningiigwadin, nigiigwadin, ningiigwadin, nigiigwaji, nigiigwaabikaji, nigiigwaabikadin, nigiigwaabikadin, nigiigwaabikaji"
mashkawadin,inanimate intransitive verb,"it freezes, is frozen solid Paired with:mashkawaji","mashkawaji, mashkawadin, mashkawaakwaji, agwaji, agwadin, agwaakwaji, agwaakwadin, gibozigwaji, gibozigwadin, mashkawaakwaji, mashkawaakwajim, gipagaakwaji, gipagaakwadin, gipagaji, bibagaakwaji, bibagaakwadin, bibagaji"
zaasakokwe,animate intransitive verb,s/he fries something See also:zaasagokwe,"zaasagokwe, zaasakokwaazh, zaasagokwaadan, zaasakokwaadan, zaasagokwaazh, zaasakokwaazo, zaasakokwaade, zaasagokwaazo, zaasagokwaazh, zaasakokwaadan, zaasakokwaade, zaasagokwaade, zaasakokwaazo"
zaasagokwaan,animate noun,(a piece of) fry bread See also:zaasakokwaan,"zaasakokwaan, zaasagokwaan"
abwewin,inanimate noun,a frying pan,
iskaakizige,animate intransitive verb,s/he runs out of fuel,
miziweyaabikizi,animate intransitive verb,"s/he is full (as something mineral; e.g., the moon)",michaabikad
gibwanaamode,inanimate intransitive verb,it is full of smoke Paired with:gibwanaamozo,"gibwanaamozo, mooshkine, mooshkine, aabitooshkine, aabitooshkine, aabitooshkina', aabitooshkinatoon, aabitooshkina', aabitooshkinadoon, aabitooshkinadoon, onzaamashkine, aabitoobii, aabitoobii, aabitoobazh, aabitoobadoon, mooshkinebii"
debisinii,animate intransitive verb,"s/he has enough to eat, eats enough, is full See also:de-wiisini","de-wiisini, debisinii"
anishaa,manner adverb,just for fun; just for nothing; not really; without purpose,"baapinenim, baapinendan"
minwendaagozi,animate intransitive verb,"s/he is likeable, is agreeable, is fun Paired with:minwendaagwad","minwendaagwad, minwendaagozi"
maajaa'iwewin,inanimate noun,conducting a funeral,
wazhashkwedo,animate noun,fungus,
wawiyazh,manner adverb,comical; funny,"wawiyazhinaagwad, wawiyazhinaagozi, wawiyazhitaagwad, wawiyazhitaagozi, wawiyadendan, wawiyadenim, wawiyadendaagwad, wawiyadendaagozi"
adaawaagan,inanimate noun,"something for sale, merchandise; fur for trade",
onzaamigidaazo,animate intransitive verb,"s/he is extremely angry, is irate, is furious",
wii-,tense/mode preverb,"is going to, will, want to",
da-,tense/mode preverb,"future tense (in independent order verbs with no personal preverb and, for some speakers, in unchanged conjunct verbs)",gad-
miishaa,inanimate intransitive verb,"it is hairy, is fuzzy Paired with:miishizi","miishizi, miishaa, miishiigad, miishiigizi"
niinzob,dependent inanimate noun,my gall bladder,
odasiniinsimi,animate intransitive verb,s/he has gall stones,
daso-diba'oobaan,number,a certain number of gallons,"ningo-minikwaajigan, ingo-minikwaajigan, nishwaaso-minikwaajigan"
ataw,transitive animate verb,"put (it) in a certain place for h/gamble with, play cards with, bet with, wager with h/",
ataagewin,inanimate noun,"gambling, a gambling game, a card game",
apagajinaazhikaw,transitive animate verb,drive h/ as game,
ataagewin,inanimate noun,"gambling, a gambling game, a card game",
gizhaadigewinini,animate noun,"a game warden, a conservation officer",
dawaabide,animate intransitive verb,"s/he has a missing tooth or has missing teeth, has a gap in h/ teeth","dawibizh, dawibidoon"
odaabaaniiwigamig,inanimate noun,a garage,
ziigwebinigan,inanimate noun,"a dump; something dumped out: slop, garbage, trash",
ziigwebinigewidaabaan,animate noun,a garbage truck,
gitigaan,inanimate noun,"a field, a garden, a farm",
gitige,animate intransitive verb,"s/he plants, gardens, farms",
giishkashkosiwezhigani-moozhwaagan,inanimate noun,(a pair of) garden shears,
jiiskinikebizon,inanimate noun,an arm garter; an armband; a bracelet,
waasamoo-bimide,inanimate noun,"gas, gasoline",
waasigani-bimide-biiwaabik,inanimate noun,"an oil drum; a gas tank, a gas can, a jerry can",
waasigani-bimidewigamig,inanimate noun,a gas station,
waasigani-bimide-biiwaabik,inanimate noun,"an oil drum; a gas tank, a gas can, a jerry can",
waasamoo-bimide,inanimate noun,"gas, gasoline",
asigin,transitive animate verb,"gather h/ up, collect h/ Paired with:an","asiginan, asigin, maamiginan, maamigin, moozhagin"
aandaabikinigan,inanimate noun,a gear shift,
gizhewaadizi,animate intransitive verb,"s/he is kind, is generous",
waangawizi,animate intransitive verb,"it (animate) is gentle, is tame See also:aangawizi",aangawizi
zazegaa-inini,animate noun,"a gentleman; a man who is good-looking, well-dressed, well-mannered",
ma'iinganasim,animate noun,a German shepherd,
gashkitaw,transitive animate verb,"be able to get (it) for h/, manage (it) for h/","naada', naada'an, naada'oozh, wenipazhitoon, wenipazhi', ondinan, ondin, naazh, naadin, naajibatwaazh, naajibatwaadan, gagwejitoon, wiikwajitoon, debandan, debam"
minose,animate intransitive verb,"s/he has things go well for h/, gets along well, has good luck Paired with:",minose
gii',transitive animate verb,"flee, escape, get away from h/; get away from h/",
boozi,animate intransitive verb,"s/he gets in or on (a vehicle or a boat), boards, gets aboard, embarks",
gabaa,animate intransitive verb,"s/he gets off (a vehicle or boat), disembarks",gabaatoon
boozi,animate intransitive verb,"s/he gets in or on (a vehicle or a boat), boards, gets aboard, embarks",
onishkaa,animate intransitive verb,s/he gets up (from a prone position),
jiibay,animate noun,a spirit; a ghost,
misaabe,animate noun,a giant,
miigiwewin,inanimate noun,a gift; giving things away,
ginagaapi,animate intransitive verb,s/he giggles,
genwaabiigigwed,animate participle,a giraffe,
ikwezens,animate noun,a girl,
biijimaagozi,animate intransitive verb,s/he gives off a smell Paired with:biijimaagwad,"biijimaagwad, biijimaagozi"
deba'ookii,animate intransitive verb,"s/he has enough to give away, has enough for everyone",
miizh,transitive animate verb,give (it) to h/,"miigiwen, miigiwen, boozitoon"
,,,
miinidiwag,animate intransitive verb,they give (something) to each other; they have a give-away,
minwendam,class 2 animate intransitive verb,"s/he is happy, is joyous, is glad, has a good time",
niniishk,dependent animate noun,my gland (lymph node),
mikwamiiwinaagaans,inanimate noun,a drinking glass,
omoodayaabik,inanimate noun,(a piece of) glass; a bottle,
oshkiinzhigokaajiganan,inanimate noun,"glasses, eyeglasses",
waaside,inanimate intransitive verb,"it shines, glitters, reflects light Paired with:waasizo","waasizo, waaside"
minjikaawan,animate noun,"something worn on the hand: a mitten, a mitt, a glove",
ashashawe-zhaabonigan,inanimate noun,a leather needle; a glovers needle See also:ashishawe-zhaabogan,"ashishawe-zhaabonigan, ashashawe-zhaabonigan"
waazakone,inanimate intransitive verb,"it glows, gives off light",
agokiwasigan,inanimate noun,"something that makes things stick: glue, paste, adhesive tape",
agokiwasan,transitive inanimate verb,"glue it, paste it on Paired with:agokiwas","agokiwas, agokiwasan, agokiwaso, bazagokazh, bazagokadoon"
gaazhage,animate intransitive verb,"s/he is a greedy eater, is gluttonous",
bigoshens,animate noun,a gt,
jiichiigwam,transitive animate verb,"chew on, gnaw h/ Paired with:jiichiigwandan","jiichiigwandan, jiichiigwam"
aadawa'am,transitive animate verb,go with h/ in a boat,"ani-naagwad, ani-naagozi, ni-, o-, awi-, bigishkise, bigishkise"
awas,discourse particle,go away!,
aazhoge,animate intransitive verb,s/he goes across water,azheshkaa
anima'amaazo,animate intransitive verb,s/he goes away singing,
ani-,directional preverb,coming up to in time; going away; in progress; on the way See also:ni-,ni-
naadin,class 3 transitive inanimate verb,"go get, go after, fetch it Paired with:naazh","naazh, naajinizha'an, naajinizha', naadin, noojitoon, nooji', noopinadan"
gizhiikaa,animate intransitive verb,s/he goes fast,
akwaandawe,animate intransitive verb,"s/he climbs up, climbs, goes upstairs",
azhe-,lexical preverb,go back,azheshkaa
naadashkosiwe,animate intransitive verb,s/he goes after hay,"naazh, naajinizha'an, naajinizha', naadin, noojitoon, nooji', noopinadan"
awas,discourse particle,go away!,
niisaakiiwe,animate intransitive verb,s/he goes downhill,
naada',transitive animate verb,go get h/ (on the water) Paired with:an,"naada'an, naada', naada'oozh, naazh, naadin"
babaamaadagaako,animate intransitive verb,s/he goes about on the ice,
aate,inanimate intransitive verb,it is extinguished,aate
gotigobide,inanimate intransitive verb,"it rolls over, goes out of place Paired with:gotigobizo",gotigobizo
awi-,directional preverb,"go somewhere to do something, go over there to... See also:o-","o-, awi-"
naazikan,transitive inanimate verb,"go to, approach it Paired with:naazikaw","naazikaw, naazikan"
zhooshkwaada'ewasab,animate noun,a hockey goal,
maanadik,animate noun,a goat See also:osh;oshens,"maanadikosh, maanadik, maanadik"
gichi-manidoo,animate noun,"great spirit, god, the creator",
wii-,tense/mode preverb,"is going to, will, want to",
ozaawaa-zhooniyaawaande,inanimate intransitive verb,it is colored gold Paired with:ozaawaa-zhooniyaawaanzo,"ozaawaa-zhooniyaawaanzo, ozaawaa-zhooniyaawaande"
ozaawaa-zhooniyaa,inanimate noun,gold,ozaawaa-zhooniyaawaabik
giniw,animate noun,golden eagle,giniwigwan
wiibijiinh,animate noun,a goldeye,aginjibagwesi
aginjibagwesi,animate noun,a goldfinch,apiitendi
apiitendi,animate intransitive verb,"s/he is away, absent, gone so long",
aapidendi,animate intransitive verb,"s/he goes and doesn't return,  is gone for good",
mino-,lexical preverb,good; nice; well,"minomaagozi, minomaagwad, minomaagwad, minomaagozi, minomaandan, minomaam, minomaagotoon, minomaago', minomaate, minomaaso, minopozh, minopogwad, minopogozi, minoshin, minosin, minotaagwad, minotaagozi, minotaw, minotan, minwaabadizi, minwaabadad, minwaabajitoon, minwaabaji', minonaagozi, minwaabaminaagwad, minwaabaminaagozi, minwaabikizi, minwaabikad, nookaadad, minwaajim, minwaadodan, minwaakwad, minwaakozi, minwaanzo, minwaande, minwegizi, minwegad"
nika,animate noun,a goose,we'wewi-bimide
we'wewi-bimide,inanimate noun,snow goose grease,
ozhaaboomin,animate noun,a gooseberry See also:zhaaboomin,"zhaaboomin, zhaaboomin, zhaaboominagaawanzh, memookiwidoo"
memookiwidoo,animate noun,a pocket gopher,dazhim
dazhim,transitive animate verb,"talk, gossip about h/ Paired with:dazhindan","dazhindan, dazhim"
agosimaan,inanimate noun,"a cucurbit (a plant of the gourd family or its fruit): cucumber, gourd, melon, pumpkin, squash, watermelon See also:gichi-na",gichi-agosimaan
ogimaakandan,transitive inanimate verb,"rule, govern it Paired with:ogimaakandaw","ogimaakandaw, ogimaakandan"
wegimaawabid,animate participle,"a councillor, a council member, a representative; a government official",
odaake-ogimaa,animate noun,a director; a governor,
debibizh,transitive animate verb,"grab, catch, reach and take, get hold of h/ Paired with:debibidoon","debibidoon, debibizh, debandan, debam, nawadinan, nawadin"
naajiweba'igan,inanimate noun,"something used to get something:  a reaching stick, a grabber See also:aak","naajiweba'iganaak, naajiweba'igan"
eshkam,degree adverb,gradually; less and less; more and more,
naan,dependent animate noun,gramma!,"nookomis, nookoo"
biindigeshimo,animate intransitive verb,"s/he enters dancing, dances inside (as in a grand entry)",
Midewiwin,inanimate noun,Grand Medicine Society; Medicine Dance;,
Gichi-onigamiing,place name,Grand Portage Reservation,
Gaa-ginwaajiwanaag,place name,"Grand Rapids, Minnesota",
noozhishenh,dependent animate noun,my grandchild,
nimishoomis,dependent animate noun,my grandfather,
nookomis,dependent animate noun,my grandmother,
naseyaawangwe,animate intransitive verb,s/he granulates sugar,
mazhoomin,animate noun,a grape,
zhawiminaabo,inanimate noun,grape juice,
mashkosiw,inanimate noun,"grass, hay, a blade of grass See also:mashkosi",mashkosi
mashkosiigaan,inanimate noun,a lodge of grass,
bapakine,animate noun,a grasshopper,
biisiboodoon,class 2 transitive inanimate verb,"grind, mill, grate it; saw it into small pieces Paired with:biisiboozh","biisiboozh, biisiboodoon"
jiibegamig,inanimate noun,a casket; a grave house,
jiibayaatig,animate noun,a grave marker,
bingwii-miikana,inanimate noun,a gravel road,
aawajibingwewidaabaan,inanimate noun,a gravel truck,
jiibayaki,inanimate noun,"a graveyard, a cemetary; land of the ghostly spirits",
bakwezhiganaaboo,inanimate noun,gravy,
bimide,inanimate noun,"grease, oil, lard","gookooshiwi-bimide, gookooshi-bimide"
noomin,transitive animate verb,"grease, oil h/ Paired with:an","noominan, noomin, noomaabikinan, noomaabikin, boozinan, boozin, boozaabikinan, boozaabikin"
gichi-,lexical preverb,"very, quite; big; great See also:chi-",chi-
gichigami,inanimate noun,"a sea, a large lakeLake Superior",
gichi-manidoo,animate noun,"great spirit, god, the creator",
aanikoobijigan,animate noun,an ancestora great-grandparenta great-grandchild,
aanikoobijigan,animate noun,an ancestora great-grandparenta great-grandchild,
zhingibis,animate noun,"a grebe, a hell-diver",gaazhage
gaazhage,animate intransitive verb,"s/he is a greedy eater, is gluttonous",
ozhaawashko-,lexical preverb,"blue, green","ozhaawashkozi, ozhaawishkwaa, ozhaawashkwaa, ozhaawashkwaabikizi, ozhaawashkwaabikad, ozhaawashkwegizi, ozhaawishkwegad, ozhaawashkwegad, ozhaawishkwegizi, ozhaawashkwaakozi, ozhaawishkwaakwad, ozhaawashkwaakwad, ozhaawashkwaabiigizi, ozhaawishkwaabiigad, ozhaawashkwaabiigad, ozhaawashkonaagwad, ozhaawashkonaagozi, ozhaawashkwadisan, ozhaawashkwadis, ozhaawashkwadite, ozhaawashkwadiso, ozhaawashkonaagwad, ozhaawashkonaagozi"
ozhaawashko-aniibiish,inanimate noun,green tea,
ashkaatig,animate noun,a tree with green wood See also:ni,"ashkaatig, ashkaatig"
anamikaw,transitive animate verb,greet h/honor h/ publically,
aaniin,interjection particle,greetings!; hello!,
waabijiiyaa,inanimate intransitive verb,it is grey Paired with:waabijiizi,"waabijiizi, waabijiiyaa"
gwiingwiishi,animate noun,a Cada jay,misajidamoo
misajidamoo,animate noun,a grey squirrel; a fox squirrel,akakanzhebwe
akakanzhebwe,animate intransitive verb,"s/he cooks, roasts, grills something on the coals",
