lemma,ojibwe_sentence,english_sentence
baaso,Weweni ozagakiiginaa' ogiziingwe'ona' gaa-paasonid.,She folded her towels neatly after they were dry.
baas,Ogii-paaswaan iniw omashwen gaa-onji-niimagoonaad.,She was drying her shawl so she hung it out.
baas,Aaboojiigin gii-paaswad nigigwayaan.,Turn an otter hide fur-side out after you dry it.
zhiishiib,Zhiishiibag bimaadagaawag.,Some ducks are swimming by.
dabazi,Gii-tabazi awe giigidoowinini gii-waabandang epiichi-zanagadinig iwe gaa-piindigajigaadenig.,The representative backed up when he saw how difficult that resolution was.
dabazi,Gii-tabazi awe bagite'igewinini gii-chi-ishpiwebinamawind iwe bikwaakwad.,The batter ducked when they gave him a high pitch.
azhiwaa,Azhiwaa na gimoozhwaagan.,Are your scissors dull?
ziigwebinan,Ogii-bichi-ziigwebinaan doodooshaaboo.,He accidentally spilled the milk.
ziigwebinan,Ogii-siigwebinaan gii-opimewebinang.,He spilled it out when he tipped it on its side.
ziigwebinan,Gii-paashkinese i'iw akakanzhe i'iwidi gii-izhi-ziigwebinamaan.,A sudden whiff of ash dust arose when I spilled it over there
megwaa,Megwaa bimosed a'aw inini gaa-izhi-gawised.,When that man was walking he fell down.
megwaa,Gii-kidiskise aw zagapiji.. zagapijigan megwaa go naa bimibizoyaang.,The trailer became unhitched as we were driving.
megwaa,"Megwaa agindaasoyaan, ingii-kawingwash.",I nodded off while I was reading.
ozhige,"Ishkwe-minis iwidi giga-ozhigemin, giga-izhi-gabeshimin.","We'll make camp over there at the end of the island, we'll camp there."
ozhige,Akawe niwii'-ozhige jibwaa-bagamibiisaang.,I want to set up the tent before the rain gets here.
bebangii,Bebangii eta ogii-ayaawaawaan zhooniyaan.,They each have only a little money.
bebangii,Bebangii gii-maada'ookii asemaan.,They gave out a little tobacco to each one.
bebangii,Bebangii nindashamaag igiw abinoojiinyag ozhaashi-manoomin. Gaawiin ganabaj ominwendanziinaawaa.,I only fed each of the the kids a little bit of oatmeal. I don't think they like it.
bebangii,"Giishpin ganage bebangii diba'aman gidoodaabaan, ingoding igo giga-giizhi-diba'aan.","Even if you only pay a little bit each time for your car, some day you will pay it off."
bebangii,Bebangii gii'-miinaawag manoomin dagwaagong.,They each got a little rice last fall.
bebangii,Bebangii eta gii'-ashamaawag gii-ando-wiisiniwaad iwidi gaa-dazhi-ashanding.,They each got feed only a little when they went to eat at the food shelter.
bebangii,Bebangii eta go.,Only a little.
migizi,Migizi gii-pimaashi.,An eagle soared by.
migizi,Gichi-mindido a'awe migizi o'omaa ge-gizhibaayaashid.,That bald eagle who is soaring around in the air is huge.
migizi,Ishpimiing niizh gizhibaayaashiwag migiziwag.,There's two eagles circling up in the sky.
migizi,Bibigwe migizi.,A bald eagle makes fluting sounds.
migiziwazison,Naawi-minis debinaagwad migiziwazison.,You can see an eagle's nest at the middle of the island.
wayiiba,Wayiiba go niwii-chiibaakwe.,I'm going to cook in a little while.
wayiiba,Indaga onishkaan. Mii iwe wayiiba ji-bi-dagoshing awe wepaazid.,Come on get up. That early riser is going to be here soon.
wayiiba,Mii zhigwa wayiiba ji-bimiinowaad igiweg nikag.,Soon you will see a gaggle of geese going by.
gashkichige,Nawaj igo gashkichige anokiitaadizod apiich idash anokiitaaged.,He makes more money working for himself than he does working for someone else.
gashkichige,Gashkichigewag igi ininiwag gii-wi-anokiiwaad iwidi oodenaang.,The men make money having gone to work in town.
aki,Nimiigaadaan indakiim ji-ganawendamaan.,I'm fighting to keep my land.
aki,"Mii omaa ezhi-bagamising i'iwe aki ebitamong,",The land we inhabit extends to here.
aki,Gaawiin ganabaj giiyaabi da-mino-izhiwebasinoon omaa miziwe akiing. Anooj izhiwebad. Gichi-gagotaamigwad miinawaa miigaading.,I don't think we'll see any good events on this earth. Many things are happening. There are bad storms and war happening.
wenipazh,Wenipazh apane ogashki'aan zhooniyaan.,She is always able to make good money.
wendad,Ayaapii go wendad o'owe ezhichigeying ojibwemowin dazhiikamong.,Every now and then it is easy for us to work on the Ojibwe language.
wiisini,Ambe daga wiisinidaa.,Come on let's eat.
wiisini,Bangii eta go niwiisin.,I ate only a little bit.
wiisini,Nindagonaan zhiiwitaagan wiisiniyaan.,I add salt when I eat.
wiisini,Endaso-anama'e-giizhigak ko nindawi-wiisinimin iwidi Famous Dave's.,Every week we go eat at Famous Dave's.
wiisini,Booshke giin wiijiiwiyan oodenaang. Gidaa-wi-wiisinimin imaa wiisiniiwigamigong.,It's really up to you if you want to go with me to town. We can go eat at the restaurant.
makadewaabikizi,Makadewaabikizi awe asin iwidi zaagakamigishing.,That rock sticking out of the ground is black.
makadewaabikizi,Makadewaabikizi a'aw dibiki-giizis.,There is an eclipse of the moon.
gikendaaso,Gii-kiikibii'ige aw asigibii'igewinini aana-gikendaasod.,The accountant is smart enough and knows better than to make false entries.
gikinoo-amaagoowin,Wewiib gagwe-giizhitoon gaa-dazhiikaman gigikinoo'amaagoowin.,Hurry up and finish your homework.
na-ii,Gii-na'ii gii-paaga'adowed nimishoome.,My uncle was quick and agile when he played lacrosse.
waawan,Baaka'aakwenhwigamigoonsing iwidi apane owi-asiginang iniw waawanoon.,He went to the chicken coop to gather up the eggs.
gichi-aya-aa,Wenda-biinge-waabishkindibe awe gichi-aya'aa.,That elder's hair is really all white.
gichi-aya-aa,Wii-maawanji'iidiwag igiw gichi-aya'aag wii-tazhindamowaad mewinzha gaa-pi-izhiwebak.,The elders are going to assemble to discuss what happened long ago.
gichi-aya-aa,Onji'o gichi-aya'aa ji-izhichigewind.,The elder forbids doing it that way.
gikaa,Eni-nisidiwinaagozid ani-gikaad awe noos.,My father is beginning to show he is aging.
gikaa,Gikaawigamigong gii'-izhinizha'waa gaa-gikaad.,The Elder was sent to the old folks home.
gikaawigamig,Nookomis gii'-achigaazo gikaawigamigong; onzaam obwaanawitoon ji-bami'idizod.,My grandmother was put in a retirement home because she isn't able to take care of herself.
zaziikizi,Mii wa'awe zeziikizid niniijaanis.,This is my oldest child.
boozi,Indaashaayok. Boozig omaa.,"All of you, come here and get in."
boozi,Niwii-pooz imaa biinjidaabaan.,I'll get in the car.
boozi,Ogii-kiboobidoon iw ogashkibidaagan jibwaa-boozid imaa ishkodewidaabaaning.,He zipped up his bag before he boarded the train.
boozi,Nitam nimbooz imaa jiimaaning awi-bagida'waayaang.,I get in the front of the canoe when we set net.
mazinigwaadan,Nimazinigwaadaan i'iw babagiwayaan.,I'm embroidering that shirt.
mookii,Mii iwe gii-mookiid awe gaa-aapidazina'iged imaa adaawewigamigong.,The one who owes at the store just emerged.
mookii,Anaamakamig gii-onji-mookii a'aw obiigomagakii,The toad came out from under the ground.
mookii,Gii-ishkwaa-gimiwang nookaabaawe aki. Mii apii mookiiwaad mooseg.,"When the rain is over, the earth gets soft. That's when the worms come out."
mookii,Akakojiishi gii'-mookii.,A groundhog came to the surface.
inaabajitoon,Amanj igo indinaabajitoon.,I can use it for anything.
inaabajitoon,Aaniin enaabajitood.,How does he use it?
de,Onzaam agaasaabikad ninitiiwinaagaans. Gaawiin inde-minikwesii.,My teacup is too small. I didn't get enough to drink.
biindigaw,Ningii-tazhwaanikweyaabaawe gii-ani-aazhawa'adoowaan jibwaa-biindigawag nindaanis.,My hair got straightened in the rain before I got across to my daughter's place.
ondenim,Wegonen wenji-ondenimaad.,Why is he so envious of him?
dibishkoo,Dibishkoo go naa ezhi'aad iniwen bakwezhiganan ezhichigeyaan.,She makes the bread the same way I do it.
dibishkoo,Dibishkoo go gaa-gii'-ikidod bijiinaago.,Just like what he said yesterday.
aabajichigan,"Nitam ningii-piinitoomin indaabajichiganinaan, akikoog, miinawaa biskitenaaganan","First we cleaned our equipment, the kettles and baskets."
aabajichigan,Zagakinan ini aabajichiganan.,Pick up the tools and put them away.
aabajichigan,Mii imaa bimiwidaasod awe gaa-anoonind ji-naadid ini aabajichiganan.,The one who was hired to go pick up the material is hauling it by now.
memindage,Memindage naa gii-migoshkaadendaagwad apane gii-miigaading.,It is especially worrisome because of the wars that are going on all the time.
memindage,Memindage ogagwe-gaachiji'aan.,She tried hard to get his attention.
agaamakiing,Agaamakiing gii-izhinizha'waa ingos ji-o-miigaazod.,They sent my son overseas to go fight.
agaamakiing,Biboonong gii-izhaawag nindaanis agaamakiing.,Last winter my daughter and her husband went across the ocean.
agaamakiing,Agaamakiing iwidi dazhi-gichi-miigaadim.,There's a war across the ocean.
agaamakiing,Hugo agaamakiing ondaadizi.,Hugo hails from Europe.
dibi,Odibi'aa' epiisikaanid.,He's keeping up with their speed.
awanjish,Awanjish gii-niminaadagaako awe gaa-twaashing aana-gii-kina'amawind.,The one that broke through the ice went out on it even though he was told not to.
awanjish,Gidaana-onji'in ji-bakite'waasiwad a'aw animosh. Awanjish gibakite'waa.,I told you not to hit the dog and you went ahead and hit him anyway.
awanjish,Awanjish igo niwii-kagwe-debwe.,I'm still trying to be right.
onaagoshin,Onaagoshig giga-onakidoomin. Mii 'iwe apii ge-aabewaanimak.,We'll set it up in the evening. That's when the wind dies down.
onaagoshin,Atoobaaning ngii-siiginaamin i'iw ozhiga'iganaaboo gii-naadoobiiyaan ani-onaagoshig.,We poured the sugar water into the tank when we gathered the sap in the evening.
inakamigad,Mii miinawaa ji-gichi-inakamigak aabita-niibinokewaad.,They're going to have a big celebration again during the Fourth of July.
inakamigad,Gii-o-adaawetamaage waa-aabajichigaadenig o'o waa-inakamigak,He went and bought some stuff for the festivities.
inakamigad,Aaniin aapidek enakamigak.,What the heck is happening?
inakamigad,Wiimaayaajimo gaa-inakamigadinig.,He's not telling about everything that happened.
inakamigad,Gigii'-noondam ina gaa'-inakamigak gichi-oodenaang?,Did you hear what happened in the big city?
gegapii,Gegapii go ani-bakade.,He's finally getting thinner.
gegapii,Gegapii iidog gii-maazhichige.,It's about time he got into trouble.
gegapii,Ogii-miikinji'aan iniwen gwiiwizensan awe noozhishenh gegapii gaa-izhi-miigaanigod.,My grandson was teasing that boy and finally he started fighting him.
gegapii,Mii 'iw gegapii gii-mookiitaagod iniw odayan apane gaa-gagaanjinawe'aad.,His dog finally took after the one who's always teasing him.
gegapii,Gegapii iidog bengishing.,He finally fell.
wiikaa,Wiikaa ko nimbi-ganoonig nishiimenh.,Once in a while my brother calls me.
wiikaa,Wiikaa gii-pi-dagoshin indaanis.,It took my daughter a long time to get here.
wiikaa,Wiikaa na bizaan-ayaa.,Does she ever shut up?
miziwe,Miziwe gii-izhaa omaa godagiing gii-anda-gikenimaad aandi gaa-izhi-gozinid.,He went all over the neighborhood trying to find out where they moved to.
miziwe,Miziwe gikendaagozi awe endazhimad.,The person you are talking about is known all over.
miziwe,Miziwe nibabaa-wiijitwaa anishinaabemowin dazhiikigaadeg.,I'm helping out everywhere with revitalizing the Native language.
miziwe,Gitwen igo gaa-o-izhi-anokiiyaan miziwe wiisagendamaan.,I went to work even though I was sore all over.
miziwe,Ningii-ayaaminaaban gii-gichi-ziigibiisaag. Miziwe gii-mooshka'an.,We were in a cloudburst at one time. Everything was flooded.
zaagidin,Zaagidin a'aw animosh.,Let the dog out!
zaagidin,Endaso-gigizheb ko nizaagidinaa ninday.,Every morning I let my dog out.
zaagidin,Gii-saagidinaa a'awe gaa-ombwekamigizid imaa zagaswe'idiwining.,The heckler at the council neeting was evicted.
memwech,Memwech igo weweni wii'-wiisini.,He has to have a full-course meal.
onzaam,Aaniin epiitenimad awe eshpabid. | Namanj iidog onzaam wayiiba.,How do you regard the chairman? I don't know...it's too early to tell.
onzaam,Agwaagomaagwadoon ini biizikiganan. Onzaam gabaya'ii imaa ayatewan.,Those clothes smell musty because they've been sitting there for a long time.
onzaam,Awashishkode namadabi a'aw akiwenzii. Onzaam gizhideni besho namadabid.,"The old man sits far away from the fire. If he sits close, it's too hot for him."
onzaam,Gaawiin debisinzinoon; onzaam dakwaa.,It won't fit because it's too short.
onzaam,"Gaawiin wii'-izhaasii. ""Onzaam biichaa,"" ikido.","He doesn't want to go. ""It's too far,"" he says."
ombi,Aashke naa gagwe-ombi' gimishoome.,Go to try to interest your uncle.
minawaanigwad,Minawaanigwad i'iw waabanda'iding.,The fair is fun.
bagidanaamo,Geyaabi na bagidanaamo mooz gaa-gii-paashkizwad.,Is the moose you shot still breathing?
bagidanaamo,Gaawiin geyaabi bagidanaamosii. Ningii'-nisaabaawanaa amik.,It's not breathing anymore. I drowned the beaver.
noondeshin,Gaawiin aapiji gii-nibaasii dibikong gaa-onji-noondeshing i'iw ezhichigepan.,He didn't sleep much last night so that's why he couldn't go on with what he was doing.
noondeshin,Gego noondeshingen. Gegaa gosha zhigwa gidagwishinimin endaayaang.,Don't get too tired and give up. We're almost home now.
noondeshin,Ningii'-noondeshin zhaaganaashiiwakiing gii-bi-onjibizoyaan zhebaa.,I got so tired driving from Canada this morning.
zaaga-am,Gichi-weweni ikwanaamo awe nimishoomis gaa-pi-zaaga'ang.,My grandfather went outside and took a deep breath.
zaaga-am,Awasaatig iwidi gii-izhaa gii-o-zaaga'ang.,He went to the other side of the tree to do his business.
apiichi,Mii go wakewajid eni-apiichi-gitaadizid.,He gets chilled easily as he ages.
apiichi,Gii-tabazi awe giigidoowinini gii-waabandang epiichi-zanagadinig iwe gaa-piindigajigaadenig.,The representative backed up when he saw how difficult that resolution was.
apiichi,Apiichi-gagiibaadizi gaa-onji-gibaakwa'ond.,He's in jail because he's so foolish.
apiichi,Ogii-gichi-zanagaakonigoon iniw oosan gaa-apiichi-maanzhichiged.,"His wrong-doing was so bad, his father put real heavy restrictions on him."
apiichi,Ogii-ojiimaan iniwen ookomisan epiichi-minwendang waabamaad.,He kissed his grandmother he was so happy to see her.
apiichi,Aaniin epiichi-biboong.,How far along in the winter is it?
aatawe-an,Odaatawe'aan waasakonenjigan; onzaam zasakaabizo.,He is putting the light out because he is blinded by the glare.
ziiginiingwaan,Eyiidawishkiinzhig odaabajitoon ziiginiingwaan.,He's using eye drops in both eyes.
indengwaan,Ogii-mazinibii'aan indengwaan 'a gwiiwizhenzhish.,A little boy sketched my face.
gwiinawaabam,Ogwiinawaabamaan aana-wii-anoonaad ji-nibinaadinid.,He couldn't see him when he wanted him to go after water.
wanendamaa,Gii-mikawi awe gaa-wanendamaad noomaya.,The person who fainted a little while ago came to.
dagwaagin,Niwii-manise dagwaagig.,I'm going to cut wood this fall.
dagwaagin,Mii 'i gikendaagwak oshki-dagwaaging. Gii-pimwewidamoog igi nikag.,You can tell it is early fall. I heard the geese going by.
dagwaagin,Zhaawanong izhisewag maangwag gii-dagwaagig.,Loons fly south in the fall.
bigishkanad,Onzaam gabaya'ii gii-animikosin iwe jiimaan gaa-onji-bigishkanak.,The boat sat there upside down too long -- that's why it rotted.
aapijishin,Agaawaa go ... bimaadizi gaa-aapijishing.,He's barely alive having been in a serious accident.
aapijishin,Gegaa gii'-aapijishin. Ogidabak gii'-ondagoojin.,Her nearly killed himself. He fell off the roof.
bangishin,Gii-pangishin babaamaandawed awe abinoonjiinh.,The child fell off while climbing around.
bangishin,Ogii-pagijwebinaan iwe omitigwaab gii-tabazi'aad ini mitigoon bengishininid.,He dropped his bow when he jumped out of the way of the falling tree.
bangishin,Ningii-pangishin gaa-izhi-wiisagidooskwaneyaan.,I fell and hurt my elbow.
waasa,"""Waasa go apiichaa,"" gidinendam.","You think ""It's far from here."""
waasa,Gichi-waasa bimi-debinaagod iwe jiimaan bemi-ayaamagak.,That boat that's going by is a long ways out.
waasa,Waasa onzaabi.,He's watching from way over there.
waasa,Waasa gii-ina'adoo.,He walked far.
waasa,Waasa danwewidamoog ma'iinganag.,I can hear the wolves in the distance.
waasa,Waasa noopimiing odoondaawanaawaa' asinii' gaa-madoodiswaagewaad.,They hauled stones from way off in the woods to use for the sweat lodge.
gitigaan,Obashkwada'waan iniw omandaaminiman imaa gitigaaning.,He's hoeing his corn in the garden.
gitigaan,Megwaa go bashkwada'ang ogitigaan ezhi-maaminonendang gii-poodaakwed wiiyaas.,While he was hoeing his garden he remembered he'd put some meat on to boil.
gitige,Niwii-gitige ziigwang.,I'm going to plant this spring.
gitige,Gaye giinawaa o'omaa gitigeg.,"You people too, plant your garden here."
gitige,Aaniin dash apii waa'-maajii-gitigeyan.,When are you going to start putting your garden in?
gitige,Mii ganabaj igo ji-aabijibiisaag. Mii 'i  waabang bijiinag ji-gitigeying,It's going to rain all day today. It won't be until tomorrow that we'll plant our garden.
gitigewinini,Gii-onzaamiinowag gitigewininiwag iwidi gaa-izhaayaang gii-piibaagadaaweng.,There were a whole lot of farmers at the auction we went to.
boogidi,Ogii-maazhimaamaan iniw gaa-poogidinid.,He didn't like the smell of the person who farted.
wiinino,Ninganawaabandaan iko iwe mazinaatesijigan. Mii imaa mazinaakizowaad igi ininiwag maagizhaa ikwewag waanda-... waanda-gichi-wiininowag naa.,I watch television and I see real fat people on there.
wiinin,Omegwaa-ningizaan 'i wiinin a'aw mindimooyenh.,The old lady is busy rendering the fat.
